date,unit,grade,price,price_per_kg
2017-12-19,10 키로상자,중,22685,2268.5
2017-12-20,10 키로상자,중,25350,2535.0
2017-12-21,10 키로상자,중,19102,1910.2
2017-12-22,10 키로상자,중,20419,2041.9
2017-12-23,10 키로상자,중,23650,2365.0
2017-12-25,10 키로상자,중,20026,2002.6
2017-12-26,10 키로상자,중,21132,2113.2
2017-12-27,10 키로상자,중,20130,2013.0
2017-12-28,10 키로상자,중,20216,2021.6
2017-12-29,10 키로상자,중,22523,2252.3
2017-12-30,10 키로상자,중,14831,1483.1
2018-01-03,10 키로상자,중,24767,2476.7
2018-01-04,10 키로상자,중,20927,2092.7
2018-01-05,10 키로상자,중,24485,2448.5
2018-01-06,10 키로상자,중,23981,2398.1
2018-01-08,10 키로상자,중,21216,2121.6
2018-01-09,10 키로상자,중,21368,2136.8
2018-01-10,10 키로상자,중,22578,2257.8
2018-01-11,10 키로상자,중,24630,2463.0
2018-01-12,10 키로상자,중,20574,2057.4
2018-01-13,10 키로상자,중,16727,1672.7
2018-01-15,10 키로상자,중,20401,2040.1
2018-01-16,10 키로상자,중,21117,2111.7
2018-01-17,10 키로상자,중,20871,2087.1
2018-01-18,10 키로상자,중,21331,2133.1
2018-01-19,10 키로상자,중,18328,1832.8
2018-01-20,10 키로상자,중,11650,1165.0
2018-01-22,10 키로상자,중,19982,1998.2
2018-01-23,10 키로상자,중,13855,1385.5
2018-01-24,10 키로상자,중,21089,2108.9
2018-01-25,10 키로상자,중,14418,1441.8
2018-01-26,10 키로상자,중,21368,2136.8
2018-01-27,10 키로상자,중,21368,2136.8
2018-01-29,10 키로상자,중,21934,2193.4
2018-01-30,10 키로상자,중,26140,2614.0
2018-01-31,10 키로상자,중,32364,3236.4
2018-02-01,10 키로상자,중,22741,2274.1
2018-02-02,10 키로상자,중,25776,2577.6
2018-02-03,10 키로상자,중,22347,2234.7
2018-02-05,10 키로상자,중,23706,2370.6
2018-02-06,10 키로상자,중,21352,2135.2
2018-02-07,10 키로상자,중,27350,2735.0
2018-02-08,10 키로상자,중,23913,2391.3
2018-02-09,10 키로상자,중,26876,2687.6
2018-02-10,10 키로상자,중,18730,1873.0
2018-02-12,10 키로상자,중,26197,2619.7
2018-02-13,10 키로상자,중,17577,1757.7
2018-02-14,10 키로상자,중,17577,1757.7
2018-02-15,10 키로상자,중,17577,1757.7
2018-02-19,10 키로상자,중,24227,2422.7
2018-02-20,10 키로상자,중,27897,2789.7
2018-02-21,10 키로상자,중,24358,2435.8
2018-02-22,10 키로상자,중,23887,2388.7
2018-02-23,10 키로상자,중,24110,2411.0
2018-02-24,10 키로상자,중,23103,2310.3
2018-02-26,10 키로상자,중,16904,1690.4
2018-02-27,10 키로상자,중,15145,1514.5
2018-02-28,10 키로상자,중,23419,2341.9
2018-03-01,10 키로상자,중,20292,2029.2
2018-03-02,10 키로상자,중,14712,1471.2
2018-03-03,10 키로상자,중,14712,1471.2
2018-03-05,10 키로상자,중,18425,1842.5
2018-03-06,10 키로상자,중,15291,1529.1
2018-03-07,10 키로상자,중,22560,2256.0
2018-03-08,10 키로상자,중,18140,1814.0
2018-03-09,10 키로상자,중,18921,1892.1
2018-03-10,10 키로상자,중,17378,1737.8
2018-03-12,10 키로상자,중,18611,1861.1
2018-03-13,10 키로상자,중,17277,1727.7
2018-03-14,10 키로상자,중,20321,2032.1
2018-03-15,10 키로상자,중,18732,1873.2
2018-03-16,10 키로상자,중,21495,2149.5
2018-03-17,10 키로상자,중,17517,1751.7
2018-03-19,10 키로상자,중,20345,2034.5
2018-03-20,10 키로상자,중,19105,1910.5
2018-03-21,10 키로상자,중,22421,2242.1
2018-03-22,10 키로상자,중,22155,2215.5
2018-03-23,10 키로상자,중,18431,1843.1
2018-03-24,10 키로상자,중,16858,1685.8
2018-03-26,10 키로상자,중,20863,2086.3
2018-03-27,10 키로상자,중,19178,1917.8
2018-03-28,10 키로상자,중,22613,2261.3
2018-03-29,10 키로상자,중,21267,2126.7
2018-03-30,10 키로상자,중,22804,2280.4
2018-03-31,10 키로상자,중,21057,2105.7
2018-04-02,10 키로상자,중,20400,2040.0
2018-04-03,10 키로상자,중,19502,1950.2
2018-04-04,10 키로상자,중,21230,2123.0
2018-04-05,10 키로상자,중,18224,1822.4
2018-04-06,10 키로상자,중,20772,2077.2
2018-04-07,10 키로상자,중,10621,1062.1
2018-04-09,10 키로상자,중,22669,2266.9
2018-04-10,10 키로상자,중,21180,2118.0
2018-04-11,10 키로상자,중,20481,2048.1
2018-04-12,10 키로상자,중,20791,2079.1
2018-04-13,10 키로상자,중,20909,2090.9
2018-04-14,10 키로상자,중,16246,1624.6
2018-04-16,10 키로상자,중,22520,2252.0
2018-04-17,10 키로상자,중,21752,2175.2
2018-04-18,10 키로상자,중,22337,2233.7
2018-04-19,10 키로상자,중,20467,2046.7
2018-04-20,10 키로상자,중,20559,2055.9
2018-04-21,10 키로상자,중,19989,1998.9
2018-04-23,10 키로상자,중,21460,2146.0
2018-04-24,10 키로상자,중,21036,2103.6
2018-04-25,10 키로상자,중,19923,1992.3
2018-04-26,10 키로상자,중,20004,2000.4
2018-04-27,10 키로상자,중,20328,2032.8
2018-04-28,10 키로상자,중,20954,2095.4
2018-04-30,10 키로상자,중,21181,2118.1
2018-05-01,10 키로상자,중,18731,1873.1
2018-05-02,10 키로상자,중,18680,1868.0
2018-05-03,10 키로상자,중,19045,1904.5
2018-05-04,10 키로상자,중,19795,1979.5
2018-05-05,10 키로상자,중,19795,1979.5
2018-05-07,10 키로상자,중,20954,2095.4
2018-05-08,10 키로상자,중,19790,1979.0
2018-05-09,10 키로상자,중,19679,1967.9
2018-05-10,10 키로상자,중,19147,1914.7
2018-05-11,10 키로상자,중,22337,2233.7
2018-05-12,10 키로상자,중,18380,1838.0
2018-05-14,10 키로상자,중,21246,2124.6
2018-05-15,10 키로상자,중,19505,1950.5
2018-05-16,10 키로상자,중,21074,2107.4
2018-05-17,10 키로상자,중,20324,2032.4
2018-05-18,10 키로상자,중,17482,1748.2
2018-05-19,10 키로상자,중,17198,1719.8
2018-05-21,10 키로상자,중,21674,2167.4
2018-05-22,10 키로상자,중,20932,2093.2
2018-05-23,10 키로상자,중,17875,1787.5
2018-05-24,10 키로상자,중,21758,2175.8
2018-05-25,10 키로상자,중,20854,2085.4
2018-05-26,10 키로상자,중,9289,928.9
2018-05-28,10 키로상자,중,21268,2126.8
2018-05-29,10 키로상자,중,21451,2145.1
2018-05-30,10 키로상자,중,21480,2148.0
2018-05-31,10 키로상자,중,20479,2047.9
2018-06-01,10 키로상자,중,21569,2156.9
2018-06-02,10 키로상자,중,16850,1685.0
2018-06-04,10 키로상자,중,22414,2241.4
2018-06-05,10 키로상자,중,18278,1827.8
2018-06-06,10 키로상자,중,20515,2051.5
2018-06-07,10 키로상자,중,22698,2269.8
2018-06-08,10 키로상자,중,21544,2154.4
2018-06-09,10 키로상자,중,16071,1607.1
2018-06-11,10 키로상자,중,22276,2227.6
2018-06-12,10 키로상자,중,20295,2029.5
2018-06-13,10 키로상자,중,21437,2143.7
2018-06-14,10 키로상자,중,19572,1957.2
2018-06-15,10 키로상자,중,22445,2244.5
2018-06-16,10 키로상자,중,21469,2146.9
2018-06-18,10 키로상자,중,20778,2077.8
2018-06-19,10 키로상자,중,18831,1883.1
2018-06-20,10 키로상자,중,21469,2146.9
2018-06-21,10 키로상자,중,19614,1961.4
2018-06-22,10 키로상자,중,17688,1768.8
2018-06-23,10 키로상자,중,15331,1533.1
2018-06-25,10 키로상자,중,20805,2080.5
2018-06-26,10 키로상자,중,14826,1482.6
2018-06-27,10 키로상자,중,18508,1850.8
2018-06-28,10 키로상자,중,20290,2029.0
2018-06-29,10 키로상자,중,20676,2067.6
2018-06-30,10 키로상자,중,9770,977.0
2018-07-02,10 키로상자,중,23271,2327.1
2018-07-03,10 키로상자,중,19214,1921.4
2018-07-04,10 키로상자,중,22190,2219.0
2018-07-05,10 키로상자,중,22245,2224.5
2018-07-06,10 키로상자,중,20367,2036.7
2018-07-07,10 키로상자,중,17186,1718.6
2018-07-09,10 키로상자,중,19092,1909.2
2018-07-10,10 키로상자,중,18816,1881.6
2018-07-11,10 키로상자,중,23214,2321.4
2018-07-12,10 키로상자,중,16955,1695.5
2018-07-13,10 키로상자,중,14016,1401.6
2018-07-14,10 키로상자,중,17933,1793.3
2018-07-16,10 키로상자,중,19403,1940.3
2018-07-17,10 키로상자,중,17122,1712.2
2018-07-18,10 키로상자,중,16795,1679.5
2018-07-19,10 키로상자,중,14179,1417.9
2018-07-20,10 키로상자,중,12347,1234.7
2018-07-21,10 키로상자,중,12847,1284.7
2018-07-23,10 키로상자,중,14170,1417.0
2018-07-24,10 키로상자,중,15457,1545.7
2018-07-25,10 키로상자,중,19228,1922.8
2018-07-26,10 키로상자,중,20367,2036.7
2018-07-27,10 키로상자,중,16959,1695.9
2018-07-28,10 키로상자,중,10012,1001.2
2018-07-30,10 키로상자,중,20575,2057.5
2018-07-31,10 키로상자,중,15737,1573.7
2018-08-01,10 키로상자,중,18167,1816.7
2018-08-02,10 키로상자,중,12132,1213.2
2018-08-03,10 키로상자,중,24000,2400.0
2018-08-06,10 키로상자,중,12876,1287.6
2018-08-07,10 키로상자,중,13051,1305.1
2018-08-08,10 키로상자,중,21319,2131.9
2018-08-09,10 키로상자,중,18736,1873.6
2018-08-10,10 키로상자,중,32597,3259.7
2018-08-11,10 키로상자,중,30598,3059.8
2018-08-13,10 키로상자,중,24506,2450.6
2018-08-14,10 키로상자,중,20009,2000.9
2018-08-15,10 키로상자,중,27536,2753.6
2018-08-16,10 키로상자,중,16088,1608.8
2018-08-17,10 키로상자,중,30483,3048.3
2018-08-18,10 키로상자,중,30814,3081.4
2018-08-20,10 키로상자,중,19654,1965.4
2018-08-21,10 키로상자,중,20566,2056.6
2018-08-22,10 키로상자,중,41195,4119.5
2018-08-23,10 키로상자,중,36518,3651.8
2018-08-24,10 키로상자,중,44289,4428.9
2018-08-25,10 키로상자,중,41600,4160.0
2018-08-27,10 키로상자,중,41600,4160.0
