date,unit,grade,price,price_per_kg
2025-10-29,10 키로상자,하,55157,5515.7
2025-10-30,10 키로상자,하,53290,5329.0
2025-10-31,10 키로상자,하,21375,2137.5
2025-11-03,10 키로상자,하,27517,2751.7
2025-11-04,10 키로상자,하,29662,2966.2
2025-11-05,10 키로상자,하,19031,1903.1
2025-11-06,10 키로상자,하,28838,2883.8
2025-11-07,10 키로상자,하,31876,3187.6
2025-11-08,10 키로상자,하,28756,2875.6
2025-11-10,10 키로상자,하,18800,1880.0
2025-11-11,10 키로상자,하,30372,3037.2
2025-11-12,10 키로상자,하,28129,2812.9
2025-11-13,10 키로상자,하,20791,2079.1
2025-11-14,10 키로상자,하,21456,2145.6
2025-11-15,10 키로상자,하,21456,2145.6
2025-11-17,10 키로상자,하,28860,2886.0
2025-11-18,10 키로상자,하,26003,2600.3
2025-11-19,10 키로상자,하,26003,2600.3
2025-11-20,10 키로상자,하,33833,3383.3
2025-11-21,10 키로상자,하,31914,3191.4
2025-11-22,10 키로상자,하,39000,3900.0
2025-11-24,10 키로상자,하,28189,2818.9
2025-11-25,10 키로상자,하,28768,2876.8
2025-11-26,10 키로상자,하,24868,2486.8
2025-11-27,10 키로상자,하,28513,2851.3
2025-11-28,10 키로상자,하,33612,3361.2
2025-11-29,10 키로상자,하,33612,3361.2
2025-12-01,10 키로상자,하,35598,3559.8
2025-12-02,10 키로상자,하,27404,2740.4
2025-12-03,10 키로상자,하,34384,3438.4
2025-12-04,10 키로상자,하,21439,2143.9
2025-12-05,10 키로상자,하,20288,2028.8
2025-12-06,10 키로상자,하,20288,2028.8
2025-12-08,10 키로상자,하,39383,3938.3
2025-12-09,10 키로상자,하,20947,2094.7
2025-12-10,10 키로상자,하,22330,2233.0
2025-12-11,10 키로상자,하,24633,2463.3
2025-12-12,10 키로상자,하,14775,1477.5
2025-12-15,10 키로상자,하,24365,2436.5
2025-12-16,10 키로상자,하,18411,1841.1
2025-12-17,10 키로상자,하,29920,2992.0
2025-12-18,10 키로상자,하,17920,1792.0
2025-12-19,10 키로상자,하,36922,3692.2
2025-12-20,10 키로상자,하,37850,3785.0
2025-12-22,10 키로상자,하,33437,3343.7
2025-12-23,10 키로상자,하,22357,2235.7
2025-12-24,10 키로상자,하,35487,3548.7
2025-12-25,10 키로상자,하,26276,2627.6
2025-12-26,10 키로상자,하,30583,3058.3
2025-12-27,10 키로상자,하,30583,3058.3
2025-12-29,10 키로상자,하,21571,2157.1
2025-12-30,10 키로상자,하,22608,2260.8
2025-12-31,10 키로상자,하,22608,2260.8
