date,unit,grade,price,price_per_kg
2017-12-19,10 키로상자,상,29607,2960.7
2017-12-20,10 키로상자,상,34181,3418.1
2017-12-21,10 키로상자,상,28549,2854.9
2017-12-22,10 키로상자,상,26555,2655.5
2017-12-23,10 키로상자,상,28404,2840.4
2017-12-25,10 키로상자,상,29331,2933.1
2017-12-26,10 키로상자,상,28780,2878.0
2017-12-27,10 키로상자,상,30199,3019.9
2017-12-28,10 키로상자,상,28481,2848.1
2017-12-29,10 키로상자,상,29259,2925.9
2017-12-30,10 키로상자,상,24214,2421.4
2018-01-03,10 키로상자,상,34242,3424.2
2018-01-04,10 키로상자,상,30023,3002.3
2018-01-05,10 키로상자,상,33929,3392.9
2018-01-06,10 키로상자,상,31229,3122.9
2018-01-08,10 키로상자,상,32267,3226.7
2018-01-09,10 키로상자,상,31121,3112.1
2018-01-10,10 키로상자,상,30113,3011.3
2018-01-11,10 키로상자,상,32487,3248.7
2018-01-12,10 키로상자,상,30495,3049.5
2018-01-13,10 키로상자,상,28793,2879.3
2018-01-15,10 키로상자,상,30293,3029.3
2018-01-16,10 키로상자,상,26704,2670.4
2018-01-17,10 키로상자,상,29897,2989.7
2018-01-18,10 키로상자,상,31882,3188.2
2018-01-19,10 키로상자,상,27921,2792.1
2018-01-20,10 키로상자,상,19424,1942.4
2018-01-22,10 키로상자,상,30334,3033.4
2018-01-23,10 키로상자,상,26390,2639.0
2018-01-24,10 키로상자,상,30297,3029.7
2018-01-25,10 키로상자,상,21638,2163.8
2018-01-26,10 키로상자,상,38614,3861.4
2018-01-27,10 키로상자,상,38614,3861.4
2018-01-29,10 키로상자,상,32867,3286.7
2018-01-30,10 키로상자,상,35838,3583.8
2018-01-31,10 키로상자,상,48630,4863.0
2018-02-01,10 키로상자,상,34302,3430.2
2018-02-02,10 키로상자,상,34153,3415.3
2018-02-03,10 키로상자,상,36499,3649.9
2018-02-05,10 키로상자,상,37346,3734.6
2018-02-06,10 키로상자,상,30415,3041.5
2018-02-07,10 키로상자,상,40847,4084.7
2018-02-08,10 키로상자,상,35674,3567.4
2018-02-09,10 키로상자,상,39336,3933.6
2018-02-10,10 키로상자,상,26729,2672.9
2018-02-12,10 키로상자,상,34899,3489.9
2018-02-13,10 키로상자,상,25245,2524.5
2018-02-14,10 키로상자,상,25245,2524.5
2018-02-15,10 키로상자,상,25245,2524.5
2018-02-19,10 키로상자,상,25812,2581.2
2018-02-20,10 키로상자,상,31753,3175.3
2018-02-21,10 키로상자,상,30795,3079.5
2018-02-22,10 키로상자,상,30905,3090.5
2018-02-23,10 키로상자,상,35411,3541.1
2018-02-24,10 키로상자,상,29235,2923.5
2018-02-26,10 키로상자,상,25932,2593.2
2018-02-27,10 키로상자,상,26322,2632.2
2018-02-28,10 키로상자,상,29171,2917.1
2018-03-01,10 키로상자,상,28967,2896.7
2018-03-02,10 키로상자,상,23826,2382.6
2018-03-03,10 키로상자,상,23826,2382.6
2018-03-05,10 키로상자,상,28211,2821.1
2018-03-06,10 키로상자,상,25043,2504.3
2018-03-07,10 키로상자,상,29045,2904.5
2018-03-08,10 키로상자,상,25248,2524.8
2018-03-09,10 키로상자,상,27340,2734.0
2018-03-10,10 키로상자,상,27559,2755.9
2018-03-12,10 키로상자,상,30409,3040.9
2018-03-13,10 키로상자,상,27441,2744.1
2018-03-14,10 키로상자,상,29304,2930.4
2018-03-15,10 키로상자,상,27120,2712.0
2018-03-16,10 키로상자,상,32025,3202.5
2018-03-17,10 키로상자,상,24077,2407.7
2018-03-19,10 키로상자,상,30018,3001.8
2018-03-20,10 키로상자,상,28574,2857.4
2018-03-21,10 키로상자,상,35010,3501.0
2018-03-22,10 키로상자,상,29401,2940.1
2018-03-23,10 키로상자,상,30053,3005.3
2018-03-24,10 키로상자,상,32442,3244.2
2018-03-26,10 키로상자,상,32654,3265.4
2018-03-27,10 키로상자,상,27717,2771.7
2018-03-28,10 키로상자,상,29673,2967.3
2018-03-29,10 키로상자,상,29462,2946.2
2018-03-30,10 키로상자,상,34592,3459.2
2018-03-31,10 키로상자,상,33983,3398.3
2018-04-02,10 키로상자,상,28862,2886.2
