date,unit,grade,price,price_per_kg
2017-12-19,10 키로상자,특,35018,3501.8
2017-12-20,10 키로상자,특,46591,4659.1
2017-12-21,10 키로상자,특,39338,3933.8
2017-12-22,10 키로상자,특,37062,3706.2
2017-12-23,10 키로상자,특,37314,3731.4
2017-12-25,10 키로상자,특,39802,3980.2
2017-12-26,10 키로상자,특,37482,3748.2
2017-12-27,10 키로상자,특,39193,3919.3
2017-12-28,10 키로상자,특,35938,3593.8
2017-12-29,10 키로상자,특,37423,3742.3
2017-12-30,10 키로상자,특,28000,2800.0
2018-01-03,10 키로상자,특,49878,4987.8
2018-01-04,10 키로상자,특,42401,4240.1
2018-01-05,10 키로상자,특,46150,4615.0
2018-01-06,10 키로상자,특,42260,4226.0
2018-01-08,10 키로상자,특,47941,4794.1
2018-01-09,10 키로상자,특,42507,4250.7
2018-01-10,10 키로상자,특,41188,4118.8
2018-01-11,10 키로상자,특,44127,4412.7
2018-01-12,10 키로상자,특,43433,4343.3
2018-01-13,10 키로상자,특,37046,3704.6
2018-01-15,10 키로상자,특,42989,4298.9
2018-01-16,10 키로상자,특,31878,3187.8
2018-01-17,10 키로상자,특,43011,4301.1
2018-01-18,10 키로상자,특,43456,4345.6
2018-01-19,10 키로상자,특,39226,3922.6
2018-01-20,10 키로상자,특,25000,2500.0
2018-01-22,10 키로상자,특,49397,4939.7
2018-01-23,10 키로상자,특,36601,3660.1
2018-01-24,10 키로상자,특,44720,4472.0
2018-01-25,10 키로상자,특,38629,3862.9
2018-01-26,10 키로상자,특,62895,6289.5
2018-01-27,10 키로상자,특,62895,6289.5
2018-01-29,10 키로상자,특,44673,4467.3
2018-01-30,10 키로상자,특,47527,4752.7
2018-01-31,10 키로상자,특,69754,6975.4
2018-02-01,10 키로상자,특,50049,5004.9
2018-02-02,10 키로상자,특,51983,5198.3
2018-02-03,10 키로상자,특,48599,4859.9
2018-02-05,10 키로상자,특,65209,6520.9
2018-02-06,10 키로상자,특,44685,4468.5
2018-02-07,10 키로상자,특,69608,6960.8
2018-02-08,10 키로상자,특,48618,4861.8
2018-02-09,10 키로상자,특,62633,6263.3
2018-02-10,10 키로상자,특,38870,3887.0
2018-02-12,10 키로상자,특,44710,4471.0
2018-02-13,10 키로상자,특,26000,2600.0
2018-02-14,10 키로상자,특,26000,2600.0
2018-02-15,10 키로상자,특,26000,2600.0
2018-02-19,10 키로상자,특,28000,2800.0
2018-02-20,10 키로상자,특,33313,3331.3
2018-02-21,10 키로상자,특,36293,3629.3
2018-02-22,10 키로상자,특,39079,3907.9
2018-02-23,10 키로상자,특,42966,4296.6
2018-02-24,10 키로상자,특,34400,3440.0
2018-02-26,10 키로상자,특,30657,3065.7
2018-02-27,10 키로상자,특,37628,3762.8
2018-02-28,10 키로상자,특,33777,3377.7
2018-03-01,10 키로상자,특,41549,4154.9
2018-03-02,10 키로상자,특,34439,3443.9
2018-03-03,10 키로상자,특,34439,3443.9
2018-03-05,10 키로상자,특,40836,4083.6
2018-03-06,10 키로상자,특,36253,3625.3
2018-03-07,10 키로상자,특,36669,3666.9
2018-03-08,10 키로상자,특,35150,3515.0
2018-03-09,10 키로상자,특,37397,3739.7
2018-03-10,10 키로상자,특,37294,3729.4
2018-03-12,10 키로상자,특,44160,4416.0
2018-03-13,10 키로상자,특,34314,3431.4
2018-03-14,10 키로상자,특,38712,3871.2
2018-03-15,10 키로상자,특,34997,3499.7
2018-03-16,10 키로상자,특,49464,4946.4
2018-03-17,10 키로상자,특,25000,2500.0
2018-03-19,10 키로상자,특,46730,4673.0
2018-03-20,10 키로상자,특,36571,3657.1
2018-03-21,10 키로상자,특,51375,5137.5
2018-03-22,10 키로상자,특,36282,3628.2
2018-03-23,10 키로상자,특,38618,3861.8
2018-03-24,10 키로상자,특,35000,3500.0
2018-03-26,10 키로상자,특,53005,5300.5
2018-03-27,10 키로상자,특,32906,3290.6
2018-03-28,10 키로상자,특,41956,4195.6
2018-03-29,10 키로상자,특,42430,4243.0
2018-03-30,10 키로상자,특,59708,5970.8
2018-03-31,10 키로상자,특,48791,4879.1
2018-04-02,10 키로상자,특,37259,3725.9
2018-04-03,10 키로상자,특,46444,4644.4
2018-04-04,10 키로상자,특,54435,5443.5
2018-04-05,10 키로상자,특,50116,5011.6
2018-04-06,10 키로상자,특,37617,3761.7
2018-04-07,10 키로상자,특,29000,2900.0
2018-04-09,10 키로상자,특,52881,5288.1
2018-04-10,10 키로상자,특,41174,4117.4
2018-04-11,10 키로상자,특,48952,4895.2
2018-04-12,10 키로상자,특,41307,4130.7
2018-04-13,10 키로상자,특,47360,4736.0
2018-04-14,10 키로상자,특,24447,2444.7
2018-04-16,10 키로상자,특,46058,4605.8
2018-04-17,10 키로상자,특,49196,4919.6
2018-04-18,10 키로상자,특,41846,4184.6
2018-04-19,10 키로상자,특,50798,5079.8
2018-04-20,10 키로상자,특,50214,5021.4
2018-04-21,10 키로상자,특,35815,3581.5
2018-04-23,10 키로상자,특,41570,4157.0
2018-04-24,10 키로상자,특,34913,3491.3
2018-04-25,10 키로상자,특,41911,4191.1
2018-04-26,10 키로상자,특,49177,4917.7
2018-04-27,10 키로상자,특,50861,5086.1
2018-04-28,10 키로상자,특,27877,2787.7
2018-04-30,10 키로상자,특,51726,5172.6
2018-05-01,10 키로상자,특,44140,4414.0
2018-05-02,10 키로상자,특,47214,4721.4
2018-05-03,10 키로상자,특,39308,3930.8
2018-05-04,10 키로상자,특,46605,4660.5
2018-05-05,10 키로상자,특,46605,4660.5
2018-05-07,10 키로상자,특,51506,5150.6
2018-05-08,10 키로상자,특,36975,3697.5
2018-05-09,10 키로상자,특,39307,3930.7
2018-05-10,10 키로상자,특,35852,3585.2
2018-05-11,10 키로상자,특,53256,5325.6
2018-05-12,10 키로상자,특,22000,2200.0
2018-05-14,10 키로상자,특,50939,5093.9
2018-05-15,10 키로상자,특,41100,4110.0
2018-05-16,10 키로상자,특,43936,4393.6
2018-05-17,10 키로상자,특,45837,4583.7
2018-05-18,10 키로상자,특,51096,5109.6
2018-05-19,10 키로상자,특,26000,2600.0
2018-05-21,10 키로상자,특,45471,4547.1
2018-05-22,10 키로상자,특,31487,3148.7
2018-05-23,10 키로상자,특,37108,3710.8
2018-05-24,10 키로상자,특,35928,3592.8
2018-05-25,10 키로상자,특,45200,4520.0
2018-05-26,10 키로상자,특,20000,2000.0
2018-05-28,10 키로상자,특,42516,4251.6
2018-05-29,10 키로상자,특,32843,3284.3
2018-05-30,10 키로상자,특,44853,4485.3
2018-05-31,10 키로상자,특,48437,4843.7
2018-06-01,10 키로상자,특,37750,3775.0
2018-06-02,10 키로상자,특,26271,2627.1
2018-06-04,10 키로상자,특,53202,5320.2
2018-06-05,10 키로상자,특,36463,3646.3
2018-06-06,10 키로상자,특,43610,4361.0
2018-06-07,10 키로상자,특,45640,4564.0
2018-06-08,10 키로상자,특,42144,4214.4
2018-06-09,10 키로상자,특,40000,4000.0
2018-06-11,10 키로상자,특,45113,4511.3
2018-06-12,10 키로상자,특,46344,4634.4
2018-06-13,10 키로상자,특,42523,4252.3
2018-06-14,10 키로상자,특,59111,5911.1
2018-06-15,10 키로상자,특,60654,6065.4
2018-06-16,10 키로상자,특,48000,4800.0
2018-06-18,10 키로상자,특,54109,5410.9
2018-06-19,10 키로상자,특,38942,3894.2
2018-06-20,10 키로상자,특,54465,5446.5
2018-06-21,10 키로상자,특,45853,4585.3
2018-06-22,10 키로상자,특,46614,4661.4
2018-06-23,10 키로상자,특,22550,2255.0
2018-06-25,10 키로상자,특,32114,3211.4
2018-06-26,10 키로상자,특,48644,4864.4
2018-06-27,10 키로상자,특,37759,3775.9
2018-06-28,10 키로상자,특,32236,3223.6
2018-06-29,10 키로상자,특,34284,3428.4
2018-06-30,10 키로상자,특,25000,2500.0
2018-07-02,10 키로상자,특,56185,5618.5
2018-07-03,10 키로상자,특,36097,3609.7
2018-07-04,10 키로상자,특,51477,5147.7
2018-07-05,10 키로상자,특,50543,5054.3
2018-07-06,10 키로상자,특,26000,2600.0
2018-07-07,10 키로상자,특,28000,2800.0
2018-07-09,10 키로상자,특,37061,3706.1
2018-07-10,10 키로상자,특,37541,3754.1
2018-07-11,10 키로상자,특,53290,5329.0
2018-07-12,10 키로상자,특,43310,4331.0
2018-07-13,10 키로상자,특,36160,3616.0
2018-07-14,10 키로상자,특,44555,4455.5
2018-07-16,10 키로상자,특,46190,4619.0
2018-07-17,10 키로상자,특,35211,3521.1
2018-07-18,10 키로상자,특,36902,3690.2
2018-07-19,10 키로상자,특,38196,3819.6
2018-07-20,10 키로상자,특,34152,3415.2
2018-07-21,10 키로상자,특,33911,3391.1
2018-07-23,10 키로상자,특,25848,2584.8
2018-07-24,10 키로상자,특,34764,3476.4
2018-07-25,10 키로상자,특,40080,4008.0
2018-07-26,10 키로상자,특,27000,2700.0
2018-07-27,10 키로상자,특,22000,2200.0
2018-07-28,10 키로상자,특,24000,2400.0
2018-07-30,10 키로상자,특,43278,4327.8
2018-07-31,10 키로상자,특,41053,4105.3
2018-08-01,10 키로상자,특,37300,3730.0
2018-08-02,10 키로상자,특,30630,3063.0
2018-08-03,10 키로상자,특,35000,3500.0
2018-08-06,10 키로상자,특,25931,2593.1
2018-08-07,10 키로상자,특,32963,3296.3
2018-08-08,10 키로상자,특,43968,4396.8
2018-08-09,10 키로상자,특,25000,2500.0
2018-08-10,10 키로상자,특,56291,5629.1
2018-08-11,10 키로상자,특,54910,5491.0
2018-08-13,10 키로상자,특,45872,4587.2
2018-08-14,10 키로상자,특,42919,4291.9
2018-08-15,10 키로상자,특,66550,6655.0
2018-08-16,10 키로상자,특,39000,3900.0
2018-08-17,10 키로상자,특,49272,4927.2
2018-08-18,10 키로상자,특,49647,4964.7
2018-08-20,10 키로상자,특,28000,2800.0
2018-08-21,10 키로상자,특,51164,5116.4
2018-08-22,10 키로상자,특,48500,4850.0
2018-08-23,10 키로상자,특,63000,6300.0
2018-08-24,10 키로상자,특,54000,5400.0
2018-08-25,10 키로상자,특,46000,4600.0
2018-08-27,10 키로상자,특,46000,4600.0
2018-08-28,10 키로상자,특,46000,4600.0
2018-08-29,10 키로상자,특,46000,4600.0
2018-08-30,10 키로상자,특,46000,4600.0
2018-08-31,10 키로상자,특,18000,1800.0
2018-09-01,10 키로상자,특,18000,1800.0
2018-09-03,10 키로상자,특,18000,1800.0
2018-09-04,10 키로상자,특,18000,1800.0
2018-09-05,10 키로상자,특,18000,1800.0
2018-09-06,10 키로상자,특,18000,1800.0
2018-09-07,10 키로상자,특,16000,1600.0
2018-09-08,10 키로상자,특,16000,1600.0
2018-09-10,10 키로상자,특,16000,1600.0
2018-09-11,10 키로상자,특,16000,1600.0
2018-09-12,10 키로상자,특,16000,1600.0
2018-09-13,10 키로상자,특,16000,1600.0
2018-09-14,10 키로상자,특,16000,1600.0
2018-09-15,10 키로상자,특,16000,1600.0
2018-09-17,10 키로상자,특,16000,1600.0
2018-09-18,10 키로상자,특,16000,1600.0
2018-09-19,10 키로상자,특,16000,1600.0
2018-09-20,10 키로상자,특,16000,1600.0
2018-09-21,10 키로상자,특,16000,1600.0
2018-09-22,10 키로상자,특,16000,1600.0
2018-09-27,10 키로상자,특,16000,1600.0
2018-09-28,10 키로상자,특,16000,1600.0
2018-09-29,10 키로상자,특,16000,1600.0
2018-10-01,10 키로상자,특,16000,1600.0
2018-10-02,10 키로상자,특,16000,1600.0
2018-10-03,10 키로상자,특,16000,1600.0
2018-10-04,10 키로상자,특,16000,1600.0
2018-10-05,10 키로상자,특,16000,1600.0
2018-10-06,10 키로상자,특,16000,1600.0
2018-10-08,10 키로상자,특,16000,1600.0
2018-10-09,10 키로상자,특,16000,1600.0
2018-10-10,10 키로상자,특,16000,1600.0
2018-10-11,10 키로상자,특,16000,1600.0
2018-10-12,10 키로상자,특,16000,1600.0
2018-10-13,10 키로상자,특,16000,1600.0
2018-10-15,10 키로상자,특,16000,1600.0
