date,unit,grade,price,price_per_kg
2024-10-19,10 키로상자,특,50000,5000.0
2024-10-21,10 키로상자,특,50000,5000.0
2024-10-22,10 키로상자,특,50000,5000.0
2024-10-23,10 키로상자,특,50000,5000.0
2024-10-24,10 키로상자,특,67000,6700.0
2024-10-25,10 키로상자,특,53625,5362.5
2024-10-26,10 키로상자,특,53625,5362.5
2024-10-28,10 키로상자,특,78468,7846.8
2024-10-29,10 키로상자,특,59161,5916.1
2024-10-30,10 키로상자,특,59767,5976.7
2024-10-31,10 키로상자,특,62213,6221.3
2024-11-01,10 키로상자,특,62527,6252.7
2024-11-02,10 키로상자,특,58000,5800.0
2024-11-04,10 키로상자,특,83920,8392.0
2024-11-05,10 키로상자,특,57676,5767.6
2024-11-06,10 키로상자,특,56136,5613.6
2024-11-07,10 키로상자,특,60255,6025.5
2024-11-08,10 키로상자,특,60317,6031.7
2024-11-09,10 키로상자,특,60317,6031.7
2024-11-11,10 키로상자,특,85344,8534.4
2024-11-12,10 키로상자,특,78000,7800.0
2024-11-13,10 키로상자,특,55367,5536.7
2024-11-14,10 키로상자,특,86353,8635.3
2024-11-15,10 키로상자,특,67155,6715.5
2024-11-16,10 키로상자,특,50000,5000.0
2024-11-18,10 키로상자,특,77178,7717.8
2024-11-19,10 키로상자,특,63423,6342.3
2024-11-20,10 키로상자,특,74756,7475.6
2024-11-21,10 키로상자,특,84612,8461.2
2024-11-22,10 키로상자,특,73616,7361.6
2024-11-23,10 키로상자,특,73616,7361.6
2024-11-25,10 키로상자,특,102399,10239.9
2024-11-26,10 키로상자,특,83200,8320.0
2024-11-27,10 키로상자,특,121159,12115.9
2024-11-28,10 키로상자,특,92536,9253.6
2024-11-29,10 키로상자,특,72000,7200.0
2024-11-30,10 키로상자,특,42000,4200.0
2024-12-02,10 키로상자,특,119472,11947.2
2024-12-03,10 키로상자,특,79037,7903.7
2024-12-04,10 키로상자,특,120364,12036.4
2024-12-05,10 키로상자,특,83293,8329.3
2024-12-06,10 키로상자,특,103063,10306.3
2024-12-07,10 키로상자,특,103063,10306.3
2024-12-09,10 키로상자,특,102895,10289.5
2024-12-10,10 키로상자,특,72828,7282.8
2024-12-11,10 키로상자,특,128174,12817.4
2024-12-12,10 키로상자,특,117478,11747.8
2024-12-13,10 키로상자,특,126561,12656.1
2024-12-14,10 키로상자,특,126561,12656.1
2024-12-16,10 키로상자,특,107165,10716.5
2024-12-17,10 키로상자,특,149376,14937.6
2024-12-18,10 키로상자,특,55816,5581.6
2024-12-19,10 키로상자,특,98360,9836.0
2024-12-20,10 키로상자,특,105233,10523.3
2024-12-21,10 키로상자,특,105233,10523.3
2024-12-23,10 키로상자,특,105979,10597.9
2024-12-24,10 키로상자,특,109781,10978.1
2024-12-25,10 키로상자,특,90600,9060.0
2024-12-26,10 키로상자,특,112915,11291.5
2024-12-27,10 키로상자,특,64000,6400.0
2024-12-28,10 키로상자,특,64000,6400.0
2024-12-30,10 키로상자,특,65453,6545.3
2024-12-31,10 키로상자,특,65453,6545.3
2025-01-02,10 키로상자,특,65453,6545.3
2025-01-03,10 키로상자,특,147662,14766.2
2025-01-04,10 키로상자,특,42000,4200.0
2025-01-06,10 키로상자,특,104132,10413.2
2025-01-07,10 키로상자,특,103687,10368.7
2025-01-08,10 키로상자,특,104982,10498.2
2025-01-09,10 키로상자,특,151890,15189.0
2025-01-10,10 키로상자,특,76167,7616.7
2025-01-11,10 키로상자,특,76167,7616.7
2025-01-13,10 키로상자,특,159500,15950.0
2025-01-14,10 키로상자,특,96039,9603.9
2025-01-15,10 키로상자,특,112398,11239.8
2025-01-16,10 키로상자,특,109000,10900.0
2025-01-17,10 키로상자,특,33000,3300.0
2025-01-18,10 키로상자,특,86000,8600.0
2025-01-20,10 키로상자,특,86000,8600.0
2025-01-21,10 키로상자,특,86000,8600.0
2025-01-22,10 키로상자,특,83000,8300.0
2025-01-23,10 키로상자,특,113962,11396.2
2025-01-24,10 키로상자,특,113962,11396.2
2025-01-25,10 키로상자,특,113962,11396.2
2025-01-27,10 키로상자,특,113962,11396.2
2025-01-28,10 키로상자,특,113962,11396.2
2025-02-01,10 키로상자,특,113962,11396.2
2025-02-03,10 키로상자,특,50000,5000.0
2025-02-04,10 키로상자,특,85000,8500.0
2025-02-05,10 키로상자,특,86171,8617.1
2025-02-06,10 키로상자,특,82136,8213.6
2025-02-07,10 키로상자,특,111885,11188.5
2025-02-08,10 키로상자,특,111885,11188.5
2025-02-10,10 키로상자,특,100566,10056.6
2025-02-11,10 키로상자,특,101662,10166.2
2025-02-13,10 키로상자,특,98942,9894.2
2025-02-14,10 키로상자,특,105175,10517.5
2025-02-15,10 키로상자,특,105175,10517.5
2025-02-17,10 키로상자,특,143303,14330.3
2025-02-18,10 키로상자,특,82374,8237.4
2025-02-19,10 키로상자,특,119575,11957.5
2025-02-20,10 키로상자,특,102008,10200.8
2025-02-21,10 키로상자,특,111318,11131.8
2025-02-22,10 키로상자,특,111318,11131.8
2025-02-24,10 키로상자,특,120167,12016.7
2025-02-25,10 키로상자,특,85849,8584.9
2025-02-26,10 키로상자,특,141490,14149.0
2025-02-27,10 키로상자,특,83885,8388.5
2025-02-28,10 키로상자,특,124239,12423.9
2025-03-01,10 키로상자,특,124239,12423.9
2025-03-03,10 키로상자,특,96071,9607.1
2025-03-04,10 키로상자,특,100309,10030.9
2025-03-06,10 키로상자,특,134367,13436.7
2025-03-07,10 키로상자,특,102772,10277.2
2025-03-08,10 키로상자,특,102772,10277.2
2025-03-10,10 키로상자,특,116976,11697.6
2025-03-11,10 키로상자,특,109597,10959.7
2025-03-12,10 키로상자,특,112164,11216.4
2025-03-13,10 키로상자,특,107618,10761.8
2025-03-14,10 키로상자,특,98196,9819.6
2025-03-15,10 키로상자,특,153448,15344.8
2025-03-17,10 키로상자,특,120375,12037.5
2025-03-18,10 키로상자,특,121768,12176.8
2025-03-19,10 키로상자,특,98144,9814.4
2025-03-20,10 키로상자,특,102769,10276.9
2025-03-21,10 키로상자,특,121332,12133.2
2025-03-22,10 키로상자,특,154762,15476.2
2025-03-24,10 키로상자,특,114518,11451.8
2025-03-25,10 키로상자,특,109903,10990.3
2025-03-26,10 키로상자,특,104103,10410.3
2025-03-27,10 키로상자,특,88168,8816.8
2025-03-28,10 키로상자,특,134764,13476.4
2025-03-29,10 키로상자,특,134764,13476.4
2025-03-31,10 키로상자,특,119144,11914.4
2025-04-01,10 키로상자,특,135218,13521.8
2025-04-02,10 키로상자,특,139379,13937.9
2025-04-03,10 키로상자,특,136144,13614.4
2025-04-04,10 키로상자,특,141323,14132.3
2025-04-05,10 키로상자,특,167059,16705.9
2025-04-07,10 키로상자,특,140995,14099.5
2025-04-08,10 키로상자,특,133038,13303.8
2025-04-09,10 키로상자,특,135871,13587.1
2025-04-10,10 키로상자,특,107737,10773.7
2025-04-11,10 키로상자,특,123538,12353.8
2025-04-12,10 키로상자,특,170000,17000.0
2025-04-14,10 키로상자,특,135036,13503.6
2025-04-15,10 키로상자,특,105116,10511.6
2025-04-16,10 키로상자,특,127111,12711.1
2025-04-17,10 키로상자,특,155747,15574.7
2025-04-18,10 키로상자,특,133602,13360.2
2025-04-19,10 키로상자,특,133602,13360.2
2025-04-21,10 키로상자,특,142106,14210.6
2025-04-22,10 키로상자,특,113350,11335.0
2025-04-23,10 키로상자,특,132221,13222.1
2025-04-24,10 키로상자,특,157850,15785.0
2025-04-25,10 키로상자,특,152242,15224.2
2025-04-26,10 키로상자,특,159412,15941.2
2025-04-28,10 키로상자,특,152618,15261.8
2025-04-29,10 키로상자,특,141798,14179.8
2025-04-30,10 키로상자,특,149301,14930.1
2025-05-01,10 키로상자,특,133662,13366.2
2025-05-02,10 키로상자,특,133781,13378.1
2025-05-03,10 키로상자,특,168333,16833.3
2025-05-05,10 키로상자,특,144974,14497.4
2025-05-06,10 키로상자,특,144937,14493.7
2025-05-07,10 키로상자,특,123580,12358.0
2025-05-08,10 키로상자,특,155051,15505.1
2025-05-09,10 키로상자,특,119152,11915.2
2025-05-10,10 키로상자,특,119152,11915.2
2025-05-12,10 키로상자,특,122229,12222.9
2025-05-13,10 키로상자,특,130700,13070.0
2025-05-14,10 키로상자,특,123833,12383.3
2025-05-15,10 키로상자,특,135396,13539.6
2025-05-16,10 키로상자,특,119087,11908.7
2025-05-17,10 키로상자,특,170000,17000.0
2025-05-19,10 키로상자,특,133683,13368.3
2025-05-20,10 키로상자,특,149887,14988.7
2025-05-21,10 키로상자,특,124015,12401.5
2025-05-22,10 키로상자,특,176557,17655.7
2025-05-23,10 키로상자,특,105596,10559.6
2025-05-24,10 키로상자,특,114759,11475.9
2025-05-26,10 키로상자,특,127426,12742.6
2025-05-27,10 키로상자,특,150643,15064.3
