date,unit,grade,price,price_per_kg
2025-10-29,10 키로상자,상,110905,11090.5
2025-10-30,10 키로상자,상,81674,8167.4
2025-10-31,10 키로상자,상,50870,5087.0
2025-11-03,10 키로상자,상,60760,6076.0
2025-11-04,10 키로상자,상,59878,5987.8
2025-11-05,10 키로상자,상,58066,5806.6
2025-11-06,10 키로상자,상,61742,6174.2
2025-11-07,10 키로상자,상,63204,6320.4
2025-11-08,10 키로상자,상,49836,4983.6
2025-11-10,10 키로상자,상,61297,6129.7
2025-11-11,10 키로상자,상,78050,7805.0
2025-11-12,10 키로상자,상,63177,6317.7
2025-11-13,10 키로상자,상,63436,6343.6
2025-11-14,10 키로상자,상,47343,4734.3
2025-11-15,10 키로상자,상,47343,4734.3
2025-11-17,10 키로상자,상,74929,7492.9
2025-11-18,10 키로상자,상,65484,6548.4
2025-11-19,10 키로상자,상,65484,6548.4
2025-11-20,10 키로상자,상,52273,5227.3
2025-11-21,10 키로상자,상,62275,6227.5
2025-11-22,10 키로상자,상,56902,5690.2
2025-11-24,10 키로상자,상,78956,7895.6
2025-11-25,10 키로상자,상,73757,7375.7
2025-11-26,10 키로상자,상,72115,7211.5
2025-11-27,10 키로상자,상,70118,7011.8
2025-11-28,10 키로상자,상,59660,5966.0
2025-11-29,10 키로상자,상,59660,5966.0
2025-12-01,10 키로상자,상,103349,10334.9
2025-12-02,10 키로상자,상,76208,7620.8
2025-12-03,10 키로상자,상,89318,8931.8
2025-12-04,10 키로상자,상,66039,6603.9
2025-12-05,10 키로상자,상,70573,7057.3
2025-12-06,10 키로상자,상,70573,7057.3
2025-12-08,10 키로상자,상,101372,10137.2
2025-12-09,10 키로상자,상,68195,6819.5
2025-12-10,10 키로상자,상,85765,8576.5
2025-12-11,10 키로상자,상,90085,9008.5
2025-12-12,10 키로상자,상,69745,6974.5
2025-12-15,10 키로상자,상,90994,9099.4
2025-12-16,10 키로상자,상,80704,8070.4
2025-12-17,10 키로상자,상,104402,10440.2
2025-12-18,10 키로상자,상,86909,8690.9
2025-12-19,10 키로상자,상,75604,7560.4
2025-12-20,10 키로상자,상,80375,8037.5
2025-12-22,10 키로상자,상,94446,9444.6
2025-12-23,10 키로상자,상,70764,7076.4
2025-12-24,10 키로상자,상,85265,8526.5
2025-12-25,10 키로상자,상,76420,7642.0
2025-12-26,10 키로상자,상,80172,8017.2
2025-12-27,10 키로상자,상,80172,8017.2
2025-12-29,10 키로상자,상,79305,7930.5
2025-12-30,10 키로상자,상,60961,6096.1
2025-12-31,10 키로상자,상,60961,6096.1
