date,unit,grade,price,price_per_kg
2024-01-03,10 키로상자,하,28069,2806.9
2024-01-04,10 키로상자,하,32273,3227.3
2024-01-05,10 키로상자,하,33201,3320.1
2024-01-06,10 키로상자,하,33380,3338.0
2024-01-08,10 키로상자,하,27842,2784.2
2024-01-09,10 키로상자,하,31360,3136.0
2024-01-10,10 키로상자,하,35116,3511.6
2024-01-11,10 키로상자,하,31016,3101.6
2024-01-12,10 키로상자,하,40110,4011.0
2024-01-13,10 키로상자,하,40162,4016.2
2024-01-15,10 키로상자,하,42032,4203.2
2024-01-16,10 키로상자,하,35924,3592.4
2024-01-17,10 키로상자,하,43830,4383.0
2024-01-18,10 키로상자,하,32672,3267.2
2024-01-19,10 키로상자,하,35872,3587.2
2024-01-20,10 키로상자,하,35828,3582.8
2024-01-22,10 키로상자,하,27566,2756.6
2024-01-23,10 키로상자,하,32020,3202.0
2024-01-24,10 키로상자,하,36275,3627.5
2024-01-25,10 키로상자,하,27547,2754.7
2024-01-26,10 키로상자,하,33705,3370.5
2024-01-27,10 키로상자,하,36540,3654.0
2024-01-29,10 키로상자,하,27627,2762.7
2024-01-30,10 키로상자,하,43714,4371.4
2024-01-31,10 키로상자,하,49549,4954.9
2024-02-01,10 키로상자,하,40633,4063.3
2024-02-02,10 키로상자,하,50319,5031.9
2024-02-03,10 키로상자,하,33676,3367.6
2024-02-05,10 키로상자,하,44168,4416.8
2024-02-06,10 키로상자,하,48953,4895.3
2024-02-07,10 키로상자,하,28493,2849.3
2024-02-08,10 키로상자,하,28493,2849.3
2024-02-09,10 키로상자,하,28493,2849.3
2024-02-13,10 키로상자,하,28493,2849.3
2024-02-14,10 키로상자,하,50247,5024.7
2024-02-15,10 키로상자,하,37976,3797.6
2024-02-16,10 키로상자,하,26460,2646.0
2024-02-17,10 키로상자,하,26460,2646.0
2024-02-19,10 키로상자,하,38864,3886.4
2024-02-20,10 키로상자,하,44322,4432.2
2024-02-21,10 키로상자,하,46083,4608.3
2024-02-22,10 키로상자,하,29249,2924.9
2024-02-23,10 키로상자,하,36469,3646.9
2024-02-24,10 키로상자,하,46444,4644.4
2024-02-26,10 키로상자,하,38290,3829.0
2024-02-27,10 키로상자,하,28500,2850.0
2024-02-28,10 키로상자,하,38010,3801.0
2024-02-29,10 키로상자,하,44293,4429.3
2024-03-01,10 키로상자,하,24776,2477.6
2024-03-02,10 키로상자,하,24776,2477.6
2024-03-04,10 키로상자,하,36042,3604.2
2024-03-05,10 키로상자,하,33135,3313.5
2024-03-06,10 키로상자,하,43426,4342.6
2024-03-07,10 키로상자,하,36219,3621.9
2024-03-08,10 키로상자,하,34554,3455.4
2024-03-09,10 키로상자,하,35000,3500.0
2024-03-11,10 키로상자,하,36220,3622.0
2024-03-12,10 키로상자,하,34786,3478.6
2024-03-13,10 키로상자,하,45134,4513.4
2024-03-14,10 키로상자,하,47137,4713.7
2024-03-15,10 키로상자,하,35499,3549.9
2024-03-16,10 키로상자,하,35498,3549.8
2024-03-18,10 키로상자,하,33898,3389.8
2024-03-19,10 키로상자,하,28394,2839.4
2024-03-20,10 키로상자,하,37695,3769.5
2024-03-21,10 키로상자,하,36133,3613.3
2024-03-22,10 키로상자,하,27634,2763.4
2024-03-23,10 키로상자,하,28546,2854.6
2024-03-25,10 키로상자,하,36190,3619.0
2024-03-26,10 키로상자,하,41173,4117.3
2024-03-27,10 키로상자,하,28089,2808.9
2024-03-28,10 키로상자,하,31991,3199.1
2024-03-29,10 키로상자,하,34189,3418.9
2024-03-30,10 키로상자,하,35531,3553.1
2024-04-01,10 키로상자,하,37092,3709.2
2024-04-02,10 키로상자,하,64327,6432.7
2024-04-03,10 키로상자,하,30411,3041.1
2024-04-04,10 키로상자,하,31651,3165.1
2024-04-05,10 키로상자,하,43765,4376.5
2024-04-06,10 키로상자,하,43765,4376.5
2024-04-08,10 키로상자,하,43191,4319.1
2024-04-09,10 키로상자,하,34133,3413.3
2024-04-10,10 키로상자,하,43337,4333.7
2024-04-11,10 키로상자,하,43944,4394.4
2024-04-12,10 키로상자,하,44848,4484.8
2024-04-13,10 키로상자,하,40479,4047.9
2024-04-15,10 키로상자,하,45730,4573.0
2024-04-16,10 키로상자,하,44830,4483.0
2024-04-17,10 키로상자,하,35643,3564.3
2024-04-18,10 키로상자,하,48877,4887.7
2024-04-19,10 키로상자,하,38228,3822.8
2024-04-20,10 키로상자,하,38228,3822.8
2024-04-22,10 키로상자,하,49869,4986.9
2024-04-23,10 키로상자,하,47251,4725.1
2024-04-24,10 키로상자,하,41917,4191.7
