date,unit,grade,price,price_per_kg
2024-10-19,10 키로상자,중,39143,3914.3
2024-10-21,10 키로상자,중,39143,3914.3
2024-10-22,10 키로상자,중,39143,3914.3
2024-10-23,10 키로상자,중,39143,3914.3
2024-10-24,10 키로상자,중,48434,4843.4
2024-10-25,10 키로상자,중,43042,4304.2
2024-10-26,10 키로상자,중,43042,4304.2
2024-10-28,10 키로상자,중,46196,4619.6
2024-10-29,10 키로상자,중,41446,4144.6
2024-10-30,10 키로상자,중,38923,3892.3
2024-10-31,10 키로상자,중,41854,4185.4
2024-11-01,10 키로상자,중,40945,4094.5
2024-11-02,10 키로상자,중,42309,4230.9
2024-11-04,10 키로상자,중,51191,5119.1
2024-11-05,10 키로상자,중,33417,3341.7
2024-11-06,10 키로상자,중,39077,3907.7
2024-11-07,10 키로상자,중,43767,4376.7
2024-11-08,10 키로상자,중,32547,3254.7
2024-11-09,10 키로상자,중,32547,3254.7
2024-11-11,10 키로상자,중,51681,5168.1
2024-11-12,10 키로상자,중,55466,5546.6
2024-11-13,10 키로상자,중,28662,2866.2
2024-11-14,10 키로상자,중,48246,4824.6
2024-11-15,10 키로상자,중,37531,3753.1
2024-11-16,10 키로상자,중,26095,2609.5
2024-11-18,10 키로상자,중,48568,4856.8
2024-11-19,10 키로상자,중,34420,3442.0
2024-11-20,10 키로상자,중,35073,3507.3
2024-11-21,10 키로상자,중,42527,4252.7
2024-11-22,10 키로상자,중,35137,3513.7
2024-11-23,10 키로상자,중,35137,3513.7
2024-11-25,10 키로상자,중,38236,3823.6
2024-11-26,10 키로상자,중,44989,4498.9
2024-11-27,10 키로상자,중,29193,2919.3
2024-11-28,10 키로상자,중,31302,3130.2
2024-11-29,10 키로상자,중,46248,4624.8
2024-11-30,10 키로상자,중,35144,3514.4
2024-12-02,10 키로상자,중,51156,5115.6
2024-12-03,10 키로상자,중,41187,4118.7
2024-12-04,10 키로상자,중,45896,4589.6
2024-12-05,10 키로상자,중,41490,4149.0
2024-12-06,10 키로상자,중,41982,4198.2
2024-12-07,10 키로상자,중,41982,4198.2
2024-12-09,10 키로상자,중,40497,4049.7
2024-12-10,10 키로상자,중,34115,3411.5
2024-12-11,10 키로상자,중,50422,5042.2
2024-12-12,10 키로상자,중,48854,4885.4
2024-12-13,10 키로상자,중,50620,5062.0
2024-12-14,10 키로상자,중,50620,5062.0
2024-12-16,10 키로상자,중,48570,4857.0
2024-12-17,10 키로상자,중,44662,4466.2
2024-12-18,10 키로상자,중,35282,3528.2
2024-12-19,10 키로상자,중,48760,4876.0
2024-12-20,10 키로상자,중,37901,3790.1
2024-12-21,10 키로상자,중,37901,3790.1
2024-12-23,10 키로상자,중,43517,4351.7
2024-12-24,10 키로상자,중,52111,5211.1
2024-12-25,10 키로상자,중,38326,3832.6
2024-12-26,10 키로상자,중,50241,5024.1
2024-12-27,10 키로상자,중,34733,3473.3
2024-12-28,10 키로상자,중,34733,3473.3
2024-12-30,10 키로상자,중,34541,3454.1
2024-12-31,10 키로상자,중,34541,3454.1
2025-01-02,10 키로상자,중,34541,3454.1
2025-01-03,10 키로상자,중,57562,5756.2
2025-01-04,10 키로상자,중,36028,3602.8
2025-01-06,10 키로상자,중,40709,4070.9
2025-01-07,10 키로상자,중,41835,4183.5
2025-01-08,10 키로상자,중,46649,4664.9
2025-01-09,10 키로상자,중,61254,6125.4
2025-01-10,10 키로상자,중,39082,3908.2
2025-01-11,10 키로상자,중,39082,3908.2
2025-01-13,10 키로상자,중,59340,5934.0
2025-01-14,10 키로상자,중,47222,4722.2
2025-01-15,10 키로상자,중,43227,4322.7
2025-01-16,10 키로상자,중,40211,4021.1
2025-01-17,10 키로상자,중,23256,2325.6
2025-01-18,10 키로상자,중,31714,3171.4
2025-01-20,10 키로상자,중,31714,3171.4
2025-01-21,10 키로상자,중,31714,3171.4
2025-01-22,10 키로상자,중,61323,6132.3
2025-01-23,10 키로상자,중,67253,6725.3
2025-01-24,10 키로상자,중,67253,6725.3
