date,unit,grade,price,price_per_kg
2024-01-03,10 키로상자,특,73927,7392.7
2024-01-04,10 키로상자,특,72000,7200.0
2024-01-05,10 키로상자,특,118044,11804.4
2024-01-06,10 키로상자,특,117475,11747.5
2024-01-08,10 키로상자,특,128439,12843.9
2024-01-09,10 키로상자,특,97697,9769.7
2024-01-10,10 키로상자,특,182884,18288.4
2024-01-11,10 키로상자,특,84369,8436.9
2024-01-12,10 키로상자,특,134943,13494.3
2024-01-13,10 키로상자,특,136289,13628.9
2024-01-15,10 키로상자,특,154345,15434.5
2024-01-16,10 키로상자,특,97851,9785.1
2024-01-17,10 키로상자,특,157803,15780.3
2024-01-18,10 키로상자,특,159755,15975.5
2024-01-19,10 키로상자,특,150560,15056.0
2024-01-20,10 키로상자,특,150363,15036.3
2024-01-22,10 키로상자,특,113221,11322.1
2024-01-23,10 키로상자,특,105574,10557.4
2024-01-24,10 키로상자,특,144978,14497.8
2024-01-25,10 키로상자,특,121690,12169.0
2024-01-26,10 키로상자,특,112500,11250.0
2024-01-27,10 키로상자,특,66000,6600.0
2024-01-29,10 키로상자,특,41961,4196.1
2024-01-30,10 키로상자,특,110623,11062.3
2024-01-31,10 키로상자,특,139531,13953.1
2024-02-01,10 키로상자,특,125901,12590.1
2024-02-02,10 키로상자,특,123157,12315.7
2024-02-03,10 키로상자,특,64000,6400.0
2024-02-05,10 키로상자,특,129761,12976.1
2024-02-06,10 키로상자,특,88120,8812.0
2024-02-07,10 키로상자,특,95695,9569.5
2024-02-08,10 키로상자,특,95695,9569.5
2024-02-09,10 키로상자,특,95695,9569.5
2024-02-13,10 키로상자,특,95695,9569.5
2024-02-14,10 키로상자,특,85889,8588.9
2024-02-15,10 키로상자,특,95037,9503.7
2024-02-16,10 키로상자,특,85203,8520.3
2024-02-17,10 키로상자,특,85203,8520.3
2024-02-19,10 키로상자,특,87735,8773.5
2024-02-20,10 키로상자,특,116364,11636.4
2024-02-21,10 키로상자,특,123036,12303.6
2024-02-22,10 키로상자,특,82000,8200.0
2024-02-23,10 키로상자,특,102330,10233.0
2024-02-24,10 키로상자,특,77000,7700.0
2024-02-26,10 키로상자,특,97774,9777.4
2024-02-27,10 키로상자,특,123673,12367.3
2024-02-28,10 키로상자,특,94187,9418.7
2024-02-29,10 키로상자,특,129812,12981.2
2024-03-01,10 키로상자,특,120206,12020.6
